,0
18618-970,-48.49513
88352-001,-48.90496
88501-000,-50.33022
04029-000,-46.66637
88330-112,-48.6323
88130-100,-48.66771
88111-150,-48.61715
89237-448,-48.8925
20011-970,-43.17516
22631-003,-43.32206
65065-470,-44.23486
09015-190,-46.52726
66093-048,-48.46614
30170-122,-43.94533
64077-175,-42.76029
11320-000,-46.38177
06380-021,-46.83569
11705-000,-46.42858
79094-000,-54.66158
36015-000,-43.35181
87013-300,-51.94551
55012-290,-35.97556
13561-206,-47.90172
17016-230,-49.06759
65058-010,-44.20115
13840-017,-46.94356
13320-240,-47.29231
13330-260,-47.21579
89010-300,-49.06204
14780-100,-48.5758
13466-550,-47.33798
18270-320,-47.85118
13500-410,-47.546
13600-040,-47.38486
12515-010,-45.20073
12010-030,-45.55399
18200-013,-48.05081
13300-005,-47.29686
12900-140,-46.54175
18010-080,-47.45332
17010-200,-49.07119
08710-170,-46.19317
11510-002,-46.43266
07851-120,-46.72423
07010-050,-46.52855
12120-970,-45.54986
11660-060,-45.41107
11410-150,-46.25641
08674-003,-46.30951
16200-003,-50.34107
15800-020,-48.9737
16400-080,-49.75607
17500-021,-49.94703
15025-000,-49.38337
06717-100,-46.92023
